iter,avg_time,std_time,max_time,max_min_diff_time,avg_tput_per_gpu,min_tput_per_gpu
0,1.0365920066833496,0.0026400089263916016,1.0392320156097412,0.005280017852783203,10115609.547820015,10089912.399251638
1,1.0597919821739197,0.002512037754058838,1.0623040199279785,0.005024075508117676,9894168.078617536,9870771.27008416
2,1.0485440492630005,0.0064640045166015625,1.055008053779602,0.012928009033203125,10000304.715257524,9939033.131012043
3,1.0515040159225464,0.0011680126190185547,1.052672028541565,0.0023360252380371094,9972154.020543827,9961089.224083973
4,1.037280023097992,0.0031040310859680176,1.04038405418396,0.006208062171936035,10108899.975421015,10078739.63257218
5,1.0462560057640076,0.0023199915885925293,1.0485759973526,0.004639983177185059,10022174.250118624,10000000.025247574
6,1.0557439923286438,0.0010239481925964355,1.0567679405212402,0.002047896385192871,9932104.824837001,9922481.178628491
7,1.0520319938659668,0.0014079809188842773,1.053439974784851,0.0028159618377685547,9967149.346349565,9953827.698765233
8,1.0438079833984375,0.004768013954162598,1.0485759973526,0.009536027908325195,10045679.058575876,10000000.025247574
9,1.042352020740509,0.0019679665565490723,1.044319987297058,0.0039359331130981445,10059710.914697219,10040753.914075296
avg,1.0473904073238374,N/A,1.0501280069351195,N/A,10011795.473223818,9985660.849896817
