iter,avg_time,std_time,max_time,max_min_diff_time,avg_tput_per_gpu,min_tput_per_gpu
0,14.556272029876709,0.004259078613584403,14.559455871582031,0.010463714599609375,10805403.998851499,10803041.088025857
1,14.629695892333984,0.010188220424341778,14.643199920654297,0.028703689575195312,10751173.582659272,10741258.79946137
2,14.593024015426636,0.011199923630577098,14.605183601379395,0.030463218688964844,10778190.992746176,10769217.580061438
3,14.586888074874878,0.005819633301657195,14.593791961669922,0.016127586364746094,10782724.81372619,10777623.82889294
4,14.595919847488403,0.0008812746343877221,14.597023963928223,0.00246429443359375,10776052.598498277,10775237.499690482
5,14.568743705749512,0.007349241342558982,14.581119537353516,0.01801586151123047,10796153.95649574,10786990.642046928
6,14.58020806312561,0.0026538948856124037,14.584159851074219,0.006847381591796875,10787664.985233549,10784741.912192825
7,14.61844801902771,0.0058603651984157545,14.626175880432129,0.016160011291503906,10759445.858771902,10753761.016263193
8,14.506752014160156,0.009339234685525964,14.520159721374512,0.025887489318847656,10842289.15242168,10832277.538136536
9,14.567791938781738,0.01002005842109653,14.580415725708008,0.027327537536621094,10796859.308601122,10787511.34116667
avg,14.580374360084534,N/A,14.589068603515624,N/A,10787595.924800541,10781166.124593824
