iter,avg_time,std_time,max_time,max_min_diff_time,avg_tput_per_gpu,min_tput_per_gpu
0,9.88979196548462,0.02457571029663086,9.91436767578125,0.04915142059326172,10602609.272869753,10576327.550988998
1,9.903503894805908,0.012912273406982422,9.91641616821289,0.025824546813964844,10587929.394867474,10574142.736780394
2,9.96889591217041,0.0076160430908203125,9.97651195526123,0.015232086181640625,10518476.762505447,10510446.98490058
3,9.9901442527771,0.018432140350341797,10.008576393127441,0.036864280700683594,10496104.695470365,10476774.70614125
4,9.984047889709473,0.017007827758789062,10.001055717468262,0.034015655517578125,10502513.72572806,10484653.116855588
5,9.86457633972168,0.0070400238037109375,9.87161636352539,0.014080047607421875,10629711.443133144,10622130.777634155
6,9.94480037689209,0.008480072021484375,9.953280448913574,0.01696014404296875,10543962.274360875,10534978.94871891
7,9.912768363952637,0.01910400390625,9.931872367858887,0.0382080078125,10578033.920505015,10557687.021768002
8,9.747663974761963,0.009647846221923828,9.757311820983887,0.019295692443847656,10757202.98437561,10746566.464596864
9,9.963279724121094,0.0015201568603515625,9.964799880981445,0.003040313720703125,10524405.908843432,10522800.382587558
avg,9.916947269439698,N/A,9.929580879211425,N/A,10574095.038265917,10560650.86909723
