iter,avg_time,std_time,max_time,max_min_diff_time,avg_tput_per_gpu,min_tput_per_gpu
0,211.22479438781738,0.1250086338624477,211.33311462402344,0.3791961669921875,8895964.119392114,8891404.432017006
1,213.35318565368652,0.07950775322184822,213.44256591796875,0.2867279052734375,8807218.820018271,8803530.748042846
2,210.76336669921875,0.21688089603214275,210.8723907470703,0.67779541015625,8915440.19925245,8910830.788909743
3,210.7750129699707,0.07343525900157581,210.8211212158203,0.23583984375,8914947.580943618,8912997.811430829
4,211.7838592529297,0.1066500737843358,211.87353515625,0.354461669921875,8872480.644315232,8868725.348893913
5,211.4585247039795,0.1284531731446069,211.5674285888672,0.323394775390625,8886131.191118812,8881557.073945912
6,211.37934494018555,0.040928659566014804,211.41293334960938,0.1358489990234375,8889459.81231855,8888047.491837481
7,210.97793579101562,0.0461001832158064,211.01568603515625,0.135528564453125,8906373.0050961,8904779.67446904
8,212.28733444213867,0.3157323099153307,212.457763671875,0.98333740234375,8851438.06123844,8844337.620450756
9,211.71794891357422,0.05607348222109319,211.86151123046875,0.185699462890625,8875242.754061678,8869228.681919105
avg,211.57213077545165,N/A,211.66580505371093,N/A,8881469.618775528,8877543.967191663
