iter,avg_time,std_time,max_time,max_min_diff_time,avg_tput_per_gpu,min_tput_per_gpu
0,0.2006400004029274,0.0055155171839433165,0.208639994263649,0.0140799880027771,7839234.434017931,7538650.514016227
1,0.20059200376272202,0.0037546176447615155,0.20640000700950623,0.00979200005531311,7841110.166387903,7620464.857482093
2,0.20521599799394608,0.0013252026067847764,0.20748800039291382,0.003327995538711548,7664431.698187584,7580505.8462249115
3,0.19315200299024582,0.0025993979351811216,0.19660800695419312,0.006016001105308533,8143141.027015028,7999999.717033167
4,0.19365599751472473,0.0006161034270289937,0.19414399564266205,0.0015359967947006226,8121948.3010352235,8101533.064638194
5,0.19204799830913544,0.0012386281823050765,0.19407999515533447,0.003295987844467163,8189952.583979529,8104204.654071315
6,0.18889600038528442,0.0008335350938004895,0.19017599523067474,0.0023359954357147217,8326613.569328548,8270570.626393664
7,0.20027199760079384,0.0023570037029659,0.20259200036525726,0.005408003926277161,7853639.144975331,7763702.402682492
8,0.19516000151634216,0.0020777045409625414,0.19756799936294556,0.0050559937953948975,8059356.362877937,7961127.333736595
9,0.19447200000286102,0.0026443437884777544,0.19766399264335632,0.007199987769126892,8087868.69048943,7957261.102369347
avg,0.19641040004789828,N/A,0.19953599870204924,N/A,8012729.597829444,7889802.011864801
