iter,avg_time,std_time,max_time,max_min_diff_time,avg_tput_per_gpu,min_tput_per_gpu
0,0.2491720002144575,0.003634432795542816,0.2539519965648651,0.01116800308227539,7364422.962534491,7225806.549354288
1,0.25553600303828716,0.004158523054322222,0.2598719894886017,0.013535991311073303,7181015.505376983,7061199.645298771
2,0.23984800279140472,0.007762075859118521,0.24988800287246704,0.026848003268241882,7650712.028633827,7343321.723758445
3,0.24675200134515762,0.0071627681201068575,0.25360000133514404,0.024000003933906555,7436648.902527781,7235835.924050145
4,0.23057200014591217,0.0038488879244787276,0.23475199937820435,0.013216003775596619,7958503.195699207,7816793.913834381
5,0.24515599757432938,0.005567896418619873,0.25014400482177734,0.014976009726524353,7485062.646463054,7335806.434007511
6,0.23363200016319752,0.002112424822375132,0.23615999519824982,0.0066879987716674805,7854266.533343905,7770189.859885292
7,0.24258400313556194,0.0021089525073944497,0.24566400051116943,0.006400004029273987,7564422.947437932,7469584.45755901
8,0.25343599915504456,0.003650015609378607,0.2568959891796112,0.011135995388031006,7240518.340401188,7142999.802605081
9,0.23802799731492996,0.009800450278547207,0.24780799448490143,0.026399999856948853,7709210.768059937,7404958.84248724
avg,0.24347160048782826,N/A,0.24887359738349915,N/A,7544478.383047831,7380649.715284017
