iter,avg_time,std_time,max_time,max_min_diff_time,avg_tput_per_gpu,min_tput_per_gpu
0,8.013871498405933,0.014244578778743744,8.028116077184677,0.028489157557487488,1308451.2276102453,1306129.5949369452
1,6.851747632026672,0.09038485586643219,6.9421324878931046,0.18076971173286438,1530377.4399084845,1510452.3024138315
2,10.55968925356865,0.0029224902391433716,10.562611743807793,0.005844980478286743,992998.9176960236,992724.172233932
3,10.248362086713314,0.054537318646907806,10.302899405360222,0.10907463729381561,1023164.4736278849,1017748.4596757921
4,10.366600006818771,0.0687185674905777,10.435318574309349,0.1374371349811554,1011494.6070170403,1004833.7216857789
5,10.54496318101883,0.04456751048564911,10.589530691504478,0.08913502097129822,994385.6436478227,990200.6335759781
6,10.315882042050362,0.058455392718315125,10.374337434768677,0.11691078543663025,1016467.6134582743,1010740.2102478276
7,10.231581516563892,0.0039031729102134705,10.235484689474106,0.007806345820426941,1024842.5410113401,1024451.7302422689
8,10.13194676488638,0.0005913898348808289,10.13253815472126,0.0011827796697616577,1034920.5580451536,1034860.154473157
9,10.771987028419971,0.08095335215330124,10.852940380573273,0.16190670430660248,973428.576578786,966167.6589295077
avg,9.803663101047277,N/A,9.845590963959694,N/A,1091053.1598601057,1085830.863841502
