iter,avg_time,std_time,max_time,max_min_diff_time,avg_tput_per_gpu,min_tput_per_gpu
0,3.3327306155115366,0.2643870383736073,3.7413761019706726,0.729486346244812,550601.9572837113,490463.38833282684
1,3.4980368800461292,0.09544221692361207,3.6216098815202713,0.28793327510356903,524582.2336715333,506682.95593166
2,3.3689497504383326,0.12294399731322075,3.5585202276706696,0.3976188600063324,544682.5081796627,515666.03042780975
3,3.5077971406280994,0.11018483594240662,3.6691315472126007,0.3437604755163193,523122.6112669181,500120.5261757474
4,3.54951829649508,0.12309171017356753,3.75325046479702,0.40741264820098877,516973.8107314313,488911.68260982
5,3.429011208936572,0.2353576402358103,3.8200262933969498,0.6302595138549805,535142.0243881574,480365.27999084094
6,3.2244939357042313,0.21099150907177078,3.451390191912651,0.5400702357292175,569084.0288707919,531672.1373027652
7,3.406987991183996,0.22663899977622476,3.7321802228689194,0.6001759320497513,538601.2527042392,491671.86213463
8,3.3144743647426367,0.21942042956075228,3.5782605409622192,0.546993687748909,553634.6937902732,512821.2378594862
9,3.383190603926778,0.185610289155604,3.6299284547567368,0.47380663454532623,542389.7778239736,505521.8092784627
avg,3.401519078761339,N/A,3.655567392706871,N/A,539881.4898710691,502389.691004405
