iter,avg_time,std_time,max_time,max_min_diff_time,avg_tput_per_gpu,min_tput_per_gpu
0,0.34619200229644775,0.002128005027770996,0.34832000732421875,0.004256010055541992,30288856.84950323,30103811.95312671
1,0.3448159992694855,0.000912010669708252,0.3457280099391937,0.001824021339416504,30409725.831210695,30329506.717850905
2,0.34676799178123474,0.0004960000514984131,0.34726399183273315,0.0009920001029968262,30238546.372570463,30195356.40496433
3,0.3436640053987503,0.0024480074644088745,0.3461120128631592,0.004896014928817749,30511662.074803166,30295856.862228326
4,0.3452799916267395,0.0023359954357147217,0.3476159870624542,0.004671990871429443,30368860.792071313,30164780.649504714
5,0.3434560000896454,0.0014399886131286621,0.34489598870277405,0.0028799772262573242,30530140.679630328,30402673.105706844
6,0.3428160101175308,0.0007999986410140991,0.3436160087585449,0.0015999972820281982,30587136.220403094,30515923.975382138
7,0.3470880091190338,0.0031200051307678223,0.35020801424980164,0.0062400102615356445,30210666.24172519,29941519.24952968
8,0.3431200087070465,0.0011039972305297852,0.3442240059375763,0.0022079944610595703,30560036.529238578,30462024.20263958
9,0.3415680080652237,0.00019200146198272705,0.3417600095272064,0.0003840029239654541,30698893.785151284,30681647.08476596
avg,0.3444768026471138,N/A,0.3459744036197662,N/A,30440452.537630737,30309310.02056992
