iter,avg_time,std_time,max_time,max_min_diff_time,avg_tput_per_gpu,min_tput_per_gpu
0,1500.6387801840901,0.3796197349092335,1501.2059714645147,0.9164512157440186,1073284.7619747764,1072879.249493494
1,1539.4721552729607,0.21252643544675984,1539.6927781403065,0.5672313272953033,1046211.0214097543,1046061.10963601
2,1550.0795608386397,0.4574570705143441,1550.869969651103,1.0867360979318619,1039051.6568895406,1038522.098898038
3,1474.336833693087,0.3082328137528371,1474.682793021202,0.7625017315149307,1092432.0000644312,1092175.716447004
4,1489.703945349902,0.25304020406925726,1489.9776801466942,0.6810128688812256,1081162.96598899,1080964.3375607
5,1572.0906564965844,0.13756131512616723,1572.2261294722557,0.3193952143192291,1024503.726514896,1024415.4487755711
6,1502.1239016205072,0.20969111239288626,1502.308800816536,0.5403868854045868,1072223.6256692633,1072091.6599334294
7,1568.9648799598217,0.35220208896939337,1569.3070124834776,0.8255075663328171,1026544.7981482191,1026320.9959478577
8,1505.948951933533,0.44958396866042916,1506.4405389130116,1.0160095989704132,1069500.2203973024,1069151.2173206352
9,1541.8462208472192,0.3437837869614418,1542.4156691879034,0.9233523160219193,1044600.1126590917,1044214.4541023776
avg,1524.5205886196345,N/A,1524.9127343297005,N/A,1056951.4889716264,1056679.6288115117
