iter,avg_time,std_time,max_time,max_min_diff_time,avg_tput_per_gpu,min_tput_per_gpu
0,1.0545728728175163,0.07744785398244858,1.132020726799965,0.15489570796489716,994313.4581098275,926286.9267103886
1,1.017761416733265,0.046337954699993134,1.064099371433258,0.09267590939998627,1030276.8239786898,985411.7276543926
2,1.0564252734184265,0.05301088094711304,1.1094361543655396,0.10602176189422607,992569.9681596716,945143.1665300793
3,1.0288236662745476,0.010139308869838715,1.0389629751443863,0.02027861773967743,1019198.9496090979,1009252.5191807512
4,1.033669337630272,0.0102948397397995,1.0439641773700714,0.020589679479599,1014421.1130455917,1004417.606207089
5,1.075567677617073,0.015875324606895447,1.0914430022239685,0.031750649213790894,974904.7148043038,960724.4701403363
6,1.1376943439245224,0.046230852603912354,1.1839251965284348,0.09246170520782471,921667.586377282,885677.5774978753
7,1.164684072136879,0.0069998204708099365,1.171683892607689,0.013999640941619873,900309.3843948152,894930.7971336014
8,1.1839820072054863,0.001498498022556305,1.1854805052280426,0.00299699604511261,885635.0802787277,884515.5996878183
9,1.1858297511935234,0.008505769073963165,1.1943355202674866,0.01701153814792633,884255.0955941364,877957.6444022682
avg,1.0939010418951511,N/A,1.1215351521968842,N/A,961755.2174352143,937431.8035144599
