iter,avg_time,std_time,max_time,max_min_diff_time,avg_tput_per_gpu,min_tput_per_gpu
0,25.273903846740723,0.022063255310058594,25.29596710205078,0.04412651062011719,42484209.42451547,42447154.50760332
1,25.686208724975586,0.01004791259765625,25.696256637573242,0.0200958251953125,41802269.67306249,41785923.885503516
2,25.79703998565674,0.015952110290527344,25.812992095947266,0.03190422058105469,41622675.49288619,41596953.19352697
3,26.604816436767578,0.09342384338378906,26.698240280151367,0.18684768676757812,40358926.232473455,40217700.220424876
4,24.77182388305664,0.0023517608642578125,24.7741756439209,0.004703521728515625,43345287.33406726,43341172.656272635
5,24.45723247528076,0.012207984924316406,24.469440460205078,0.024415969848632812,43902834.26733767,43880930.818432
6,24.535231590270996,0.00035190582275390625,24.53558349609375,0.0007038116455078125,43763264.26956463,43762636.58742609
7,24.295696258544922,0.0079193115234375,24.30361557006836,0.015838623046875,44194733.60934694,44180332.79469701
8,24.653727531433105,0.012127876281738281,24.665855407714844,0.024255752563476562,43552920.04549805,43531505.64825582
9,25.277999877929688,0.019632339477539062,25.297632217407227,0.039264678955078125,42477325.309962034,42444360.59360375
avg,25.135368061065673,N/A,25.15497589111328,N/A,42750444.565871425,42718867.0905746
