iter,avg_time,std_time,max_time,max_min_diff_time,avg_tput_per_gpu,min_tput_per_gpu
0,104.66395504772663,0.06056390702724457,104.72451895475388,0.12112781405448914,1001850.1589413955,1001270.7725619023
1,106.31168633699417,0.015167519450187683,106.32685385644436,0.030335038900375366,986322.4224250859,986181.7235895266
2,108.44655800610781,0.033573247492313385,108.48013125360012,0.06714649498462677,966905.7453542631,966606.5000868083
3,107.05863311886787,0.13398006558418274,107.19261318445206,0.2679601311683655,979440.8628734868,978216.659571177
4,102.72147413343191,0.14916155487298965,102.8706356883049,0.2983231097459793,1020795.3194265235,1019315.1748154404
5,106.16382211446762,0.02460181713104248,106.18842393159866,0.04920363426208496,987696.1653371971,987467.3351169059
6,104.02515716850758,0.014446675777435303,104.03960384428501,0.028893351554870605,1008002.3222665646,1007862.3536181402
7,106.2269527465105,0.020213425159454346,106.24716617166996,0.04042685031890869,987109.1779336061,986921.3813248933
8,105.78985512256622,0.08225999772548676,105.87211512029171,0.1645199954509735,991187.6699189527,990417.5417753861
9,106.82148952037096,0.09805615991353989,106.9195456802845,0.19611231982707977,981615.2205966343,980714.9790324566
avg,105.82295833155513,N/A,105.88616076856852,N/A,991092.5065073709,990497.4421492638
