iter,step_time(ms),comm_time(ms)
warmup0,1537.585205078125,131.0572509765625
warmup1,1029.564453125,130.38156127929688
bench0,1029.8619384765625,130.5465545654297
bench1,1028.8175048828125,130.5970916748047
bench2,1029.5157470703125,130.44076538085938
bench3,1028.53076171875,130.39830017089844
bench4,1029.8985595703125,131.04946899414062
avg,1029.32490234375,130.60643615722657
std,0.5553419931594427,0.23268803747458558
