iter,avg_time,std_time,max_time,max_min_diff_time,avg_tput_per_gpu,min_tput_per_gpu
0,1.5034479796886444,0.0072549974914825986,1.511423945426941,0.016575932502746582,10461712.152659457,10406504.440788807
1,1.5126719772815704,0.005112855603852004,1.5179200172424316,0.013056039810180664,10397918.541643118,10361968.89252033
2,1.4998400211334229,0.006612432470657175,1.509376049041748,0.01807999610900879,10486878.452619188,10420623.81338672
3,1.5064800083637238,0.005827350652788367,1.514623999595642,0.016479969024658203,10440656.306540567,10384517.87651527
4,1.5061199963092804,0.006028319804883589,1.5126399993896484,0.013983964920043945,10443151.965675209,10398138.358331474
5,1.5096719861030579,0.008387190036881419,1.5188159942626953,0.020928025245666504,10418581.08568379,10355856.179691749
6,1.5103359520435333,0.0040429155583104545,1.5155199766159058,0.0100480318069458,10414000.92391275,10378378.538514161
7,1.5155119895935059,0.004314116136238685,1.521664023399353,0.012160062789916992,10378433.23444691,10336473.596098222
8,5.3178479969501495,2.0871950729173725,6.544095993041992,4.841215968132019,2957707.706015773,2403485.525995259
9,1.5491920113563538,0.008512465550113804,1.5580159425735474,0.01775991916656494,10152802.160546392,10095301.062208172
avg,1.8931119918823243,N/A,2.0224095940589906,N/A,9655184.252974316,9554124.828405015
