iter,avg_time,std_time,max_time,max_min_diff_time,avg_tput_per_gpu,min_tput_per_gpu
0,1.0499839782714844,0.0019840002059936523,1.051967978477478,0.003968000411987305,9986590.47851566,9967755.877109613
1,1.0463680028915405,0.0020799636840820312,1.0484479665756226,0.0041599273681640625,10021101.53504654,10001221.170992354
2,1.106335997581482,0.015967965126037598,1.1223039627075195,0.031935930252075195,9477916.313780364,9343066.003886743
3,1.048687994480133,0.0019360184669494629,1.0506240129470825,0.0038720369338989258,9998932.051470766,9980506.699619994
4,1.0455039739608765,0.001024007797241211,1.0465279817581177,0.002048015594482422,10029383.207674336,10019569.646273974
5,1.0312319993972778,0.0042879581451416016,1.0355199575424194,0.008575916290283203,10168187.183997968,10126081.997381937
6,1.048255980014801,0.0011200308799743652,1.0493760108947754,0.0022400617599487305,10003052.880129475,9992376.31805502
7,1.044431984424591,4.798173904418945e-05,1.0444799661636353,9.59634780883789e-05,10039677.218212463,10039216.011499096
8,1.0356959700584412,0.002384006977081299,1.0380799770355225,0.004768013954162598,10124361.108992556,10101109.964517873
9,1.0537279844284058,0.003103971481323242,1.056831955909729,0.006207942962646484,9951107.074078511,9921880.145054638
avg,1.0510223865509034,N/A,1.0544159770011903,N/A,9980030.905189866,9949278.383439125
