iter,avg_time,std_time,max_time,max_min_diff_time,avg_tput_per_gpu,min_tput_per_gpu
0,14.524944067001343,0.008024853298804674,14.535903930664062,0.021727561950683594,10828709.513404109,10820544.821309539
1,14.580991983413696,0.011972004675270782,14.592000007629395,0.028672218322753906,10787085.006213423,10778947.362785304
2,14.552615880966187,0.0130040048010695,14.571392059326172,0.036640167236328125,10808118.711201586,10794191.75323963
3,14.54859185218811,0.00754497464170848,14.556991577148438,0.020287513732910156,10811108.153834429,10804869.89131107
4,14.573607921600342,0.018558357019875942,14.59609603881836,0.04409599304199219,10792550.536979742,10775922.51939809
5,14.587151765823364,0.00976765584911831,14.601663589477539,0.023903846740722656,10782529.89514448,10771813.70712759
6,14.546487808227539,0.008692706683995122,14.561280250549316,0.022368431091308594,10812671.90221947,10801687.57785336
7,14.622959852218628,0.005183487158599921,14.6310396194458,0.014463424682617188,10756126.091403866,10750186.185741307
8,14.50658369064331,0.0019364594178859554,14.508447647094727,0.004960060119628906,10842414.958213015,10841021.991177404
9,14.522104024887085,0.008731331347207744,14.532608032226562,0.024255752563476562,10830827.249994373,10822998.848603908
avg,14.55660388469696,N/A,14.568742275238037,N/A,10805214.201860849,10796218.46585472
