iter,avg_time,std_time,max_time,max_min_diff_time,avg_tput_per_gpu,min_tput_per_gpu
0,93.31256103515625,0.022064208984375,93.33462524414062,0.04412841796875,11506937.673647808,11504217.445469493
1,99.62905502319336,0.040958404541015625,99.67001342773438,0.08191680908203125,10777396.450764649,10772967.58646988
2,92.93905639648438,0.0069580078125,92.94601440429688,0.013916015625,11553181.898246782,11552317.018451532
3,98.54275131225586,0.013149261474609375,98.55590057373047,0.02629852294921875,10896203.01545668,10894749.251433454
4,99.09236907958984,0.04046630859375,99.1328353881836,0.0809326171875,10835767.011863274,10831343.820596375
5,98.25199890136719,0.01728057861328125,98.26927947998047,0.0345611572265625,10928447.62454048,10926525.865275566
6,93.25568008422852,0.08601760864257812,93.3416976928711,0.17203521728515625,11513956.28695428,11503345.777286053
7,98.49151992797852,0.019580841064453125,98.51110076904297,0.03916168212890625,10901870.788319329,10899703.846750868
8,99.2175178527832,0.004207611083984375,99.22172546386719,0.00841522216796875,10822099.234463764,10821640.310931867
9,99.52336120605469,0.099517822265625,99.62287902832031,0.19903564453125,10788842.046611635,10778064.581879448
avg,97.22558708190918,N/A,97.2606071472168,N/A,11052470.20308687,11048487.550454454
