iter,avg_time,std_time,max_time,max_min_diff_time,avg_tput_per_gpu,min_tput_per_gpu
0,0.21026399731636047,0.00568490705696557,0.21510399878025055,0.014464005827903748,7480424.704536979,7312109.532686243
1,0.22152799740433693,0.0032568068634676647,0.22563199698925018,0.009120002388954163,7100068.697543363,6970926.20278912
2,0.20232799649238586,0.0009420675946890901,0.2030079960823059,0.0023040026426315308,7773832.723437219,7747793.339934802
3,0.1968880034983158,0.0005418181408200007,0.19782400131225586,0.0013120025396347046,7988622.831524899,7950824.922994598
4,0.20316799730062485,0.002269405708706467,0.2059839963912964,0.005280002951622009,7741691.707836521,7635855.345830447
5,0.20763200148940086,0.0011067792447834882,0.20953600108623505,0.002688005566596985,7575248.462266983,7506414.133353075
6,0.19831200316548347,0.0018767609547138415,0.20105600357055664,0.004511997103691101,7931259.706390579,7823014.344597944
7,0.20550400018692017,0.0020490013950577755,0.20800000429153442,0.005248010158538818,7653690.432153977,7561845.997827296
8,0.19991999864578247,0.0019980751702220988,0.20214399695396423,0.004607990384101868,7867467.040087344,7780908.776421395
9,0.19885600358247757,0.0015946088531983123,0.20147199928760529,0.004319995641708374,7909562.55614198,7806861.52696934
avg,0.20443999990820885,N/A,0.20697599947452544,N/A,7702186.886191985,7609655.412340427
