iter,avg_time,std_time,max_time,max_min_diff_time,avg_tput_per_gpu,min_tput_per_gpu
0,0.2310000006109476,0.005092473690602428,0.23552000522613525,0.016224011778831482,7943757.554747967,7791304.174938818
1,0.25150800310075283,0.0031242637974173456,0.25600001215934753,0.00812801718711853,7296022.302975803,7167999.659538285
2,0.2443920001387596,0.0077109332237232766,0.25385600328445435,0.020640000700950623,7508461.811180926,7228538.920719597
3,0.23348800092935562,0.003266902285294961,0.23737600445747375,0.01020801067352295,7859110.501165334,7730385.403503344
4,0.24835600145161152,0.01211437283166803,0.255264014005661,0.03804801404476166,7388619.51905569,7188667.024405974
5,0.24571200087666512,0.0055134794228237395,0.2519040107727051,0.01609601080417633,7468125.258241173,7284552.534003683
6,0.2364680003374815,0.0019218624632404925,0.23948800563812256,0.00575999915599823,7760069.004605783,7662212.540083456
7,0.22670000232756138,0.0031783644922434885,0.2314240038394928,0.009727999567985535,8094433.088485708,7929203.408271747
8,0.23543200083076954,0.0029300407705670642,0.24003200232982635,0.01014399528503418,7794216.561575327,7644847.279482874
9,0.2597560025751591,0.012404974923655967,0.2717120051383972,0.03328000009059906,7064352.630192058,6753503.582093599
avg,0.24128120131790637,N/A,0.24725760668516159,N/A,7617716.823222576,7438121.452704137
