iter,avg_time,std_time,max_time,max_min_diff_time,avg_tput_per_gpu,min_tput_per_gpu
0,2.1567800045013428,0.01813934194926444,2.178976058959961,0.05657601356506348,8508090.747179668,8421423.413324976
1,2.19609597325325,0.021263039796516416,2.2366080284118652,0.06739211082458496,8355773.255581622,8204423.737595957
2,2.1467559933662415,0.03533255861244277,2.176255941390991,0.09958386421203613,8547818.222799499,8431949.409530954
3,2.1843279898166656,0.01867924885016284,2.206943988800049,0.054496049880981445,8400789.664165843,8314701.276119488
4,2.154392033815384,0.013982576110739537,2.1740479469299316,0.04515194892883301,8517521.28302405,8440513.019003538
5,2.1856919825077057,0.031483346730915865,2.263040065765381,0.10444808006286621,8395547.106754923,8108597.049426889
6,2.1611199975013733,0.015470602985624924,2.1831679344177246,0.04924798011779785,8491004.67406523,8405253.535795528
7,2.1222319900989532,0.016634249648835104,2.1509439945220947,0.046688079833984375,8646594.757599706,8531175.170870543
8,2.170547991991043,0.02291532853164818,2.2220799922943115,0.0754239559173584,8454123.137432901,8258064.544766198
9,2.1707119941711426,0.020831838533084887,2.200671911239624,0.05846381187438965,8453484.409389248,8338398.78915141
avg,2.1648655951023104,N/A,2.1992735862731934,N/A,8477074.725799268,8345449.994558549
