iter,step_time(ms),comm_time(ms)
warmup0,5141.6064453125,499.9146728515625
warmup1,1123.180908203125,486.39385986328125
bench0,1101.880859375,487.0061950683594
bench1,1104.1976318359375,495.2698974609375
bench2,1104.536376953125,486.70550537109375
bench3,1104.3743896484375,487.39105224609375
bench4,1104.8302001953125,486.5535888671875
avg,1103.9638916015624,488.5852478027344
std,1.062110771804009,3.3545527647676137
